TaxonName	Subfamily	Tribe	Genus	Subgenus	GenusAuthority	Author	Year	OriginalTypeSpecies	CurrentTypeSpecies	SpeciesCount	Images	Source
Eutetramorium	Myrmicinae	Crematogastrini	Eutetramorium		Emery, 1899	Emery	1899	Eutetramorium mocquerysi		3	Present	https://www.antwiki.org/wiki/Eutetramorium
Feroponera	Ponerinae	Ponerini	Feroponera		Bolton & Fisher, 2008	Bolton & Fisher	2008	Feroponera ferox		1	Present	https://www.antwiki.org/wiki/Feroponera
Fisheropone	Ponerinae	Ponerini	Fisheropone		Schmidt & Shattuck, 2014	Schmidt & Shattuck	2014	Ponera ambigua	Fisheropone ambigua	1	Present	https://www.antwiki.org/wiki/Fisheropone
Forelius	Dolichoderinae	Leptomyrmecini	Forelius		Emery, 1888	Emery	1888	Iridomyrmex mccooki	Forelius mccooki	19	Present	https://www.antwiki.org/wiki/Forelius
Forelophilus	Formicinae	Camponotini	Camponotus	Forelophilus	Kutter, 1931	Kutter	1931	Forelophilus overbecki	Camponotus javaensis		Present	https://www.antwiki.org/wiki/Forelophilus
Formica	Formicinae	Formicini	Formica		Linnaeus, 1758	Linnaeus	1758	Formica rufa		280	Present	https://www.antwiki.org/wiki/Formica
Formicoxenus	Myrmicinae	Crematogastrini	Formicoxenus		Mayr, 1855	Mayr	1855	Myrmica nitidula	Formicoxenus nitidulus	7	Present	https://www.antwiki.org/wiki/Formicoxenus
Formosimyrma	Myrmicinae	Crematogastrini	Formosimyrma		Terayama, 2009	Terayama	2009	Formosimyrma lanyuensis		1	Present	https://www.antwiki.org/wiki/Formosimyrma
Froggattella	Dolichoderinae	Leptomyrmecini	Froggattella		Forel, 1902	Forel	1902	Acantholepis kirbii	Froggattella kirbii	2	Present	https://www.antwiki.org/wiki/Froggattella
Fulakora	Amblyoponinae	Amblyoponini	Fulakora		Mann, 1919	Mann	1919	Fulakora celata		25	Present	https://www.antwiki.org/wiki/Fulakora
